feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
boll_lower_zn30,1h,target_binarytrend,0.0041285608895123005,0.0,0.0,0.0,0.0,187.0,143.0,0.0,0.2890995260663507
support_level_20_zn30,1h,target_binarytrend,0.004621419124305248,0.0,0.0,0.0,0.0,104.0,143.0,0.0,0.3677725118483412
distance_to_support_zn30,1h,target_binarytrend,0.004512094426900148,0.0,0.0,0.0,0.0,126.0,143.0,0.0,0.3469194312796208
distance_to_resistance_zn30,1h,target_binarytrend,0.0042946115136146545,0.0,0.0,0.0,0.0,167.0,143.0,0.0,0.3080568720379147
vol_ma_zn30,1h,target_binarytrend,0.004977100994437933,0.0,0.0,0.0,0.0,43.0,143.0,0.0,0.42559241706161133
volume_relative_20_zn30,1h,target_binarytrend,0.004338575527071953,0.0,0.0,0.0,0.0,158.0,143.0,0.0,0.31658767772511853
obv_zn30,1h,target_binarytrend,0.004480108618736267,0.05,0.0,0.0,0.0,134.0,143.0,0.05,0.34933649289099533
atr_zn30,1h,target_binarytrend,0.004607276525348425,0.0,0.012417626638919417,0.0,0.0,110.0,22.0,0.0,0.47677725118483416
amplitude_range_zn30,1h,target_binarytrend,0.004432877525687218,0.0,0.002057246768094847,0.0,0.0,144.0,55.0,0.0,0.4132701421800948
atr_slope_zn30,1h,target_binarytrend,0.004918282851576805,0.0,0.01974487660172736,0.0,0.0,50.0,15.0,0.0,0.5402843601895734
trendline_slope_20_zn30,1h,target_binarytrend,0.004931881092488766,0.0,0.0,0.0,0.0,47.0,143.0,0.0,0.4218009478672986
ma_diff_5_20_zn30,1h,target_binarytrend,0.004827710334211588,0.0,0.0,0.0,0.0,63.0,143.0,0.0,0.40663507109004743
cci_zn30,1h,target_binarytrend,0.0043027810752391815,0.0,0.0,0.0,0.0,164.0,143.0,0.0,0.3109004739336493
adx_scaled_zn30,1h,target_binarytrend,0.004431968089193106,0.0,0.0,0.0,0.0,145.0,143.0,0.0,0.3289099526066351
vwap_zn30,1h,target_binarytrend,0.004439180716872215,0.0,0.0,0.0,0.0,140.0,143.0,0.0,0.33364928909952607
obv_diff1_zn30,1h,target_binarytrend,0.004231389611959457,0.0,0.0006455754144403403,0.0,0.0,176.0,70.0,0.0,0.36872037914691946
obv_pct_zn30,1h,target_binarytrend,0.004280829802155495,0.0,0.0,0.0,0.0,168.0,143.0,0.0,0.3071090047393365
obv_slope_14_zn30,1h,target_binarytrend,0.004687924403697252,0.0,0.0,0.0,0.0,93.0,143.0,0.0,0.3781990521327014
trend_flag_zn30,1h,target_binarytrend,0.0048738932237029076,0.0,0.0,0.0,0.0,57.0,143.0,0.0,0.41232227488151657
range_flag_zn30,1h,target_binarytrend,0.0043946802616119385,0.0,0.0008522421263999359,0.0,0.0,150.0,69.0,0.0,0.39431279620853077
high_vol_flag_zn30,1h,target_binarytrend,0.004309090320020914,0.05,0.0,0.0,0.0,162.0,143.0,0.05,0.3227962085308057
stress_flag_zn30,1h,target_binarytrend,0.0028650604654103518,0.0,0.0,0.0,0.0,203.0,143.0,0.0,0.2739336492890995
donchian_high_20_zn30,1h,target_binarytrend,0.004769344348460436,0.0,0.0,0.0,0.0,78.0,143.0,0.0,0.3924170616113744
squeeze_on_zn30,1h,target_binarytrend,0.004600792657583952,0.0,0.0,0.0,0.0,111.0,143.0,0.0,0.36113744075829385
ppo_zn30,1h,target_binarytrend,0.0041817775927484035,0.05,0.0,0.0,0.0,180.0,143.0,0.05,0.3057345971563981
stoch_rsi_zn30,1h,target_binarytrend,0.004626515321433544,0.0,0.0,0.0,0.0,100.0,143.0,0.0,0.37156398104265403
